Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"Recipe.step 15 Ht time","V11075",Word,1,R/W,100,,,,,,,,,,"Heater timer step 15",
"Recipe.step 15 Left","V11074",Word,1,R/W,100,,,,,,,,,,"Left heater temperature step 15",
"Recipe.step 15 N2","V10211",Word,1,R/W,100,,,,,,,,,,"N2 flow setpoint, MFC-2 step 15",
"Recipe.step 15 NH3","V10214",Word,1,R/W,100,,,,,,,,,,"NH3 flow setpoin, MFC-7, t step 15",
"Recipe.step 15 O2","V10210",Word,1,R/W,100,,,,,,,,,,"O2 flow setpoint, MFC-1  step 15",
"Recipe.step 15 Press","V10207",Word,1,R/W,100,,,,,,,,,,"Furnace pressure setpoint step 15",
"Recipe.step 15 Right","V11076",Word,1,R/W,100,,,,,,,,,,"Right heater temperature step 15",
"Recipe.step 15 Time","V10217",Word,1,R/W,100,,,,,,,,,,"Process time step 15",
"Recipe.step 15 Zn 0","V11077",Word,1,R/W,100,,,,,,,,,,"Zone 0 temperature step 15",
"Recipe.step 16 Ar","V10227",Word,1,R/W,100,,,,,,,,,,"Ar flow setpoint, MFC-9,  step 16",
"Recipe.step 16 CH4","V10223",Word,1,R/W,100,,,,,,,,,,"CH4 flow setpoint, MFC-4,   step 16",
"Recipe.step 16 H2","V10224",Word,1,R/W,100,,,,,,,,,,"H2 flow setpoint, MFC-5 & MFC-6,  step 16",
"Recipe.step 16 H2S","V10226",Word,1,R/W,100,,,,,,,,,,"H2S flow setpoint, MFC-8,  step 16",
"Recipe.step 16 Ht time","V11101",Word,1,R/W,100,,,,,,,,,,"Heater timer step 16",
"Recipe.step 16 Left","V11100",Word,1,R/W,100,,,,,,,,,,"Left heater temperature step 16",
"Recipe.step 16 N2","V10222",Word,1,R/W,100,,,,,,,,,,"N2 flow setpoint, MFC-2 step 16",
"Recipe.step 16 NH3","V10225",Word,1,R/W,100,,,,,,,,,,"NH3 flow setpoin, MFC-7, t step 16",
"Recipe.step 16 O2","V10221",Word,1,R/W,100,,,,,,,,,,"O2 flow setpoint, MFC-1  step 16",
"Recipe.step 16 Press","V10220",Word,1,R/W,100,,,,,,,,,,"Furnace pressure setpoint step 16",
"Recipe.step 16 Right","V11102",Word,1,R/W,100,,,,,,,,,,"Right heater temperature step 16",
"Recipe.step 16 Time","V10230",Word,1,R/W,100,,,,,,,,,,"Process time step 16",
"Recipe.step 16 Zn 0","V11103",Word,1,R/W,100,,,,,,,,,,"Zone 0 temperature step 16",
"Recipe.step 17 Ar","V10240",Word,1,R/W,100,,,,,,,,,,"Ar flow setpoint, MFC-9,  step 17",
"Recipe.step 17 CH4","V10234",Word,1,R/W,100,,,,,,,,,,"CH4 flow setpoint, MFC-4,   step 17",
"Recipe.step 17 H2","V10235",Word,1,R/W,100,,,,,,,,,,"H2 flow setpoint, MFC-5 & MFC-6,  step 17",
"Recipe.step 17 H2S","V10237",Word,1,R/W,100,,,,,,,,,,"H2S flow setpoint, MFC-8,  step 17",
"Recipe.step 17 Ht time","V11105",Word,1,R/W,100,,,,,,,,,,"Heater timer step 17",
"Recipe.step 17 Left","V11104",Word,1,R/W,100,,,,,,,,,,"Left heater temperature step 17",
"Recipe.step 17 N2","V10233",Word,1,R/W,100,,,,,,,,,,"N2 flow setpoint, MFC-2 step 17",
"Recipe.step 17 NH3","V10236",Word,1,R/W,100,,,,,,,,,,"NH3 flow setpoin, MFC-7, t step 17",
"Recipe.step 17 O2","V10232",Word,1,R/W,100,,,,,,,,,,"O2 flow setpoint, MFC-1  step 17",
"Recipe.step 17 Press","V10231",Word,1,R/W,100,,,,,,,,,,"Furnace pressure setpoint step 17",
"Recipe.step 17 Right","V11106",Word,1,R/W,100,,,,,,,,,,"Right heater temperature step 17",
"Recipe.step 17 Time","V10241",Word,1,R/W,100,,,,,,,,,,"Process time step 17",
"Recipe.step 17 Zn 0","V11107",Word,1,R/W,100,,,,,,,,,,"Zone 0 temperature step 17",
"Recipe.step 18 Ar","V10251",Word,1,R/W,100,,,,,,,,,,"Ar flow setpoint, MFC-9,  step 18",
"Recipe.step 18 CH4","V10245",Word,1,R/W,100,,,,,,,,,,"CH4 flow setpoint, MFC-4,   step 18",
"Recipe.step 18 H2","V10246",Word,1,R/W,100,,,,,,,,,,"H2 flow setpoint, MFC-5 & MFC-6,  step 18",
"Recipe.step 18 H2S","V10250",Word,1,R/W,100,,,,,,,,,,"H2S flow setpoint, MFC-8,  step 18",
"Recipe.step 18 Ht time","V11111",Word,1,R/W,100,,,,,,,,,,"Heater timer step 18",
"Recipe.step 18 Left","V11110",Word,1,R/W,100,,,,,,,,,,"Left heater temperature step 18",
"Recipe.step 18 N2","V10244",Word,1,R/W,100,,,,,,,,,,"N2 flow setpoint, MFC-2 step 18",
"Recipe.step 18 NH3","V10247",Word,1,R/W,100,,,,,,,,,,"NH3 flow setpoin, MFC-7, t step 18",
"Recipe.step 18 O2","V10243",Word,1,R/W,100,,,,,,,,,,"O2 flow setpoint, MFC-1  step 18",
"Recipe.step 18 Press","V10242",Word,1,R/W,100,,,,,,,,,,"Furnace pressure setpoint step 18",
"Recipe.step 18 Right","V11112",Word,1,R/W,100,,,,,,,,,,"Right heater temperature step 18",
"Recipe.step 18 Time","V10252",Word,1,R/W,100,,,,,,,,,,"Process time step 18",
"Recipe.step 18 Zn 0","V11113",Word,1,R/W,100,,,,,,,,,,"Zone 0 temperature step 18",
"Recipe.step 19 Ar","V10262",Word,1,R/W,100,,,,,,,,,,"Ar flow setpoint, MFC-9,  step 19",
"Recipe.step 19 CH4","V10256",Word,1,R/W,100,,,,,,,,,,"CH4 flow setpoint, MFC-4,   step 19",
"Recipe.step 19 H2","V10257",Word,1,R/W,100,,,,,,,,,,"H2 flow setpoint, MFC-5 & MFC-6,  step 19",
"Recipe.step 19 H2S","V10261",Word,1,R/W,100,,,,,,,,,,"H2S flow setpoint, MFC-8,  step 19",
"Recipe.step 19 Ht time","V11115",Word,1,R/W,100,,,,,,,,,,"Heater timer step 19",
"Recipe.step 19 Left","V11114",Word,1,R/W,100,,,,,,,,,,"Left heater temperature step 19",
"Recipe.step 19 N2","V10255",Word,1,R/W,100,,,,,,,,,,"N2 flow setpoint, MFC-2 step 19",
"Recipe.step 19 NH3","V10260",Word,1,R/W,100,,,,,,,,,,"NH3 flow setpoin, MFC-7, t step 19",
"Recipe.step 19 O2","V10254",Word,1,R/W,100,,,,,,,,,,"O2 flow setpoint, MFC-1  step 19",
"Recipe.step 19 Press","V10253",Word,1,R/W,100,,,,,,,,,,"Furnace pressure setpoint step 19",
"Recipe.step 19 Right","V11116",Word,1,R/W,100,,,,,,,,,,"Right heater temperature step 19",
"Recipe.step 19 Time","V10263",Word,1,R/W,100,,,,,,,,,,"Process time step 19",
"Recipe.step 19 Zn 0","V11117",Word,1,R/W,100,,,,,,,,,,"Zone 0 temperature step 19",
"Recipe.step 2 Ar","V10031",Word,1,R/W,100,,,,,,,,,,"Ar flow setpoint, MFC-9,  step 2",
"Recipe.step 2 Center","V11011",Word,1,R/W,100,,,,,,,,,,"Center heater temperature step 2",
"Recipe.step 2 CH4","V10025",Word,1,R/W,100,,,,,,,,,,"CH4 flow setpoint, MFC-4,   step 2",
"Recipe.step 2 H2","V10026",Word,1,R/W,100,,,,,,,,,,"H2 flow setpoint, MFC-5 & MFC-6,  step 2",
"Recipe.step 2 H2S","V10030",Word,1,R/W,100,,,,,,,,,,"H2S flow setpoint, MFC-8,  step 2",
"Recipe.step 2 Ht time","V11013",Word,1,R/W,100,,,,,,,,,,"Heater timer step 2",
"Recipe.step 2 Left","V11010",Word,1,R/W,100,,,,,,,,,,"Left heater temperature step 2",
"Recipe.step 2 N2","V10024",Word,1,R/W,100,,,,,,,,,,"N2 flow setpoint, MFC-2 step 2",
"Recipe.step 2 NH3","V10027",Word,1,R/W,100,,,,,,,,,,"NH3 flow setpoin, MFC-7, t step 2",
"Recipe.step 2 O2","V10023",Word,1,R/W,100,,,,,,,,,,"O2 flow setpoint, MFC-1  step 2",
"Recipe.step 2 Press","V10022",Word,1,R/W,100,,,,,,,,,,"Furnace pressure setpoint step 2",
"Recipe.step 2 Right","V11012",Word,1,R/W,100,,,,,,,,,,"Right heater temperature step 2",
"Recipe.step 2 Time","V10032",Word,1,R/W,100,,,,,,,,,,"Process time step 2",
"Recipe.step 20 Ar","V10273",Word,1,R/W,100,,,,,,,,,,"Ar flow setpoint, MFC-9,  step 20",
"Recipe.step 20 CH4","V10267",Word,1,R/W,100,,,,,,,,,,"CH4 flow setpoint, MFC-4,   step 20",
"Recipe.step 20 H2","V10270",Word,1,R/W,100,,,,,,,,,,"H2 flow setpoint, MFC-5 & MFC-6,  step 20",
"Recipe.step 20 H2S","V10272",Word,1,R/W,100,,,,,,,,,,"H2S flow setpoint, MFC-8,  step 20",
